"annotation_id","annotator","answer","created_at","id","instruction_and_answer","label","label_mapping","lead_time","logits","logits_mapped","question","question_and_answer","question_number","sentiment","task","updated_at"
1434,"1","A.","2024-05-22T17:51:06.799844Z",2011,"{'A': 'entailment', 'B': 'contradiction', 'C': 'neutral'}

A.","entailment","{""A"":""entailment"",""B"":""contradiction"",""C"":""neutral""}",1.657,"{""A"":4.511033058166504,""B"":2.045133590698242,""C"":2.5331366062164307}","{""entailment"":4.511033058166504,""contradiction"":2.045133590698242,""neutral"":2.5331366062164307}","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Caroline is healthier than Diana."". Hypothesis: ""Caroline and Diana can be compared in terms of how healthy they are."". Given the premise provided, is the hypothesis: A. entailment or B. contradiction or C. neutral ?<|end_of_turn|>GPT4 Correct Assistant:","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Caroline is healthier than Diana."". Hypothesis: ""Caroline and Diana can be compared in terms of how healthy they are."". Given the premise provided, is the hypothesis: A. entailment or B. contradiction or C. neutral ?<|end_of_turn|>GPT4 Correct Assistant:

A.",11,"A","comparative-1","2024-05-22T17:51:06.799868Z"
1435,"1","A.","2024-05-22T17:51:08.261801Z",2012,"{'A': 'entailment', 'B': 'neutral', 'C': 'contradiction'}

A.","entailment","{""A"":""entailment"",""B"":""neutral"",""C"":""contradiction""}",1.323,"{""A"":5.241038799285889,""B"":3.5768511295318604,""C"":2.4334092140197754}","{""entailment"":5.241038799285889,""neutral"":3.5768511295318604,""contradiction"":2.4334092140197754}","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Al is more clever than Carol."". Hypothesis: ""Al and Carol can be compared in terms of how clever they are."". Given the premise provided, is the hypothesis: A. entailment or B. neutral or C. contradiction ?<|end_of_turn|>GPT4 Correct Assistant:","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Al is more clever than Carol."". Hypothesis: ""Al and Carol can be compared in terms of how clever they are."". Given the premise provided, is the hypothesis: A. entailment or B. neutral or C. contradiction ?<|end_of_turn|>GPT4 Correct Assistant:

A.",12,"A","comparative-1","2024-05-22T17:51:08.261825Z"
1436,"1","A.","2024-05-22T17:51:10.119963Z",2013,"{'A': 'entailment', 'B': 'contradiction', 'C': 'neutral'}

A.","entailment","{""A"":""entailment"",""B"":""contradiction"",""C"":""neutral""}",1.738,"{""A"":4.491191864013672,""B"":2.290410280227661,""C"":2.485477924346924}","{""entailment"":4.491191864013672,""contradiction"":2.290410280227661,""neutral"":2.485477924346924}","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Jerry is more beautiful than Keith."". Hypothesis: ""Jerry and Keith can be compared in terms of how beautiful they are."". Given the premise provided, is the hypothesis: A. entailment or B. contradiction or C. neutral ?<|end_of_turn|>GPT4 Correct Assistant:","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Jerry is more beautiful than Keith."". Hypothesis: ""Jerry and Keith can be compared in terms of how beautiful they are."". Given the premise provided, is the hypothesis: A. entailment or B. contradiction or C. neutral ?<|end_of_turn|>GPT4 Correct Assistant:

A.",13,"A","comparative-1","2024-05-22T17:51:10.119993Z"
1437,"1","A.","2024-05-22T17:51:12.104092Z",2014,"{'A': 'entailment', 'B': 'contradiction', 'C': 'neutral'}

A.","entailment","{""A"":""entailment"",""B"":""contradiction"",""C"":""neutral""}",1.851,"{""A"":4.552056312561035,""B"":2.349907159805298,""C"":2.624464273452759}","{""entailment"":4.552056312561035,""contradiction"":2.349907159805298,""neutral"":2.624464273452759}","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Nicole is wiser than Robin."". Hypothesis: ""Nicole and Robin can be compared in terms of how wise they are."". Given the premise provided, is the hypothesis: A. entailment or B. contradiction or C. neutral ?<|end_of_turn|>GPT4 Correct Assistant:","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Nicole is wiser than Robin."". Hypothesis: ""Nicole and Robin can be compared in terms of how wise they are."". Given the premise provided, is the hypothesis: A. entailment or B. contradiction or C. neutral ?<|end_of_turn|>GPT4 Correct Assistant:

A.",14,"A","comparative-1","2024-05-22T17:51:12.104131Z"
1438,"1","A.","2024-05-22T17:51:13.950518Z",2015,"{'A': 'entailment', 'B': 'contradiction', 'C': 'neutral'}

A.","entailment","{""A"":""entailment"",""B"":""contradiction"",""C"":""neutral""}",1.703,"{""A"":4.591294765472412,""B"":2.000051975250244,""C"":2.755340576171875}","{""entailment"":4.591294765472412,""contradiction"":2.000051975250244,""neutral"":2.755340576171875}","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Marie is fairer than Anna."". Hypothesis: ""Marie and Anna can be compared in terms of how fair they are."". Given the premise provided, is the hypothesis: A. entailment or B. contradiction or C. neutral ?<|end_of_turn|>GPT4 Correct Assistant:","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Marie is fairer than Anna."". Hypothesis: ""Marie and Anna can be compared in terms of how fair they are."". Given the premise provided, is the hypothesis: A. entailment or B. contradiction or C. neutral ?<|end_of_turn|>GPT4 Correct Assistant:

A.",15,"A","comparative-1","2024-05-22T17:51:13.950541Z"
1439,"1","C.","2024-05-22T17:51:15.853109Z",2016,"{'A': 'neutral', 'B': 'contradiction', 'C': 'entailment'}

C.","entailment","{""A"":""neutral"",""B"":""contradiction"",""C"":""entailment""}",1.774,"{""A"":1.5772590637207031,""B"":4.636414527893066,""C"":5.520998954772949}","{""neutral"":1.5772590637207031,""contradiction"":4.636414527893066,""entailment"":5.520998954772949}","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Ron is meaner than Patrick."". Hypothesis: ""Ron and Patrick can be compared in terms of how mean they are."". Given the premise provided, is the hypothesis: A. neutral or B. contradiction or C. entailment ?<|end_of_turn|>GPT4 Correct Assistant:","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Ron is meaner than Patrick."". Hypothesis: ""Ron and Patrick can be compared in terms of how mean they are."". Given the premise provided, is the hypothesis: A. neutral or B. contradiction or C. entailment ?<|end_of_turn|>GPT4 Correct Assistant:

C.",16,"C","comparative-1","2024-05-22T17:51:15.853140Z"
1440,"1","A.","2024-05-22T17:51:17.696418Z",2017,"{'A': 'entailment', 'B': 'contradiction', 'C': 'neutral'}

A.","entailment","{""A"":""entailment"",""B"":""contradiction"",""C"":""neutral""}",1.709,"{""A"":4.451821804046631,""B"":2.907196521759033,""C"":2.9461565017700195}","{""entailment"":4.451821804046631,""contradiction"":2.907196521759033,""neutral"":2.9461565017700195}","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Virginia is more interesting than Dick."". Hypothesis: ""Virginia and Dick can be compared in terms of how interesting they are."". Given the premise provided, is the hypothesis: A. entailment or B. contradiction or C. neutral ?<|end_of_turn|>GPT4 Correct Assistant:","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Virginia is more interesting than Dick."". Hypothesis: ""Virginia and Dick can be compared in terms of how interesting they are."". Given the premise provided, is the hypothesis: A. entailment or B. contradiction or C. neutral ?<|end_of_turn|>GPT4 Correct Assistant:

A.",17,"A","comparative-1","2024-05-22T17:51:17.696441Z"
1441,"1","C.","2024-05-22T17:51:19.452047Z",2018,"{'A': 'contradiction', 'B': 'neutral', 'C': 'entailment'}

C.","entailment","{""A"":""contradiction"",""B"":""neutral"",""C"":""entailment""}",1.618,"{""A"":2.466970682144165,""B"":4.2677741050720215,""C"":5.790681838989258}","{""contradiction"":2.466970682144165,""neutral"":4.2677741050720215,""entailment"":5.790681838989258}","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Christine is greater than Alexander."". Hypothesis: ""Christine and Alexander can be compared in terms of how great they are."". Given the premise provided, is the hypothesis: A. contradiction or B. neutral or C. entailment ?<|end_of_turn|>GPT4 Correct Assistant:","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Christine is greater than Alexander."". Hypothesis: ""Christine and Alexander can be compared in terms of how great they are."". Given the premise provided, is the hypothesis: A. contradiction or B. neutral or C. entailment ?<|end_of_turn|>GPT4 Correct Assistant:

C.",18,"C","comparative-1","2024-05-22T17:51:19.452072Z"
1442,"1","C. entailment","2024-05-22T17:51:20.929007Z",2019,"{'A': 'contradiction', 'B': 'neutral', 'C': 'entailment'}

C. entailment","entailment","{""A"":""contradiction"",""B"":""neutral"",""C"":""entailment""}",1.356,"{""A"":2.2998087406158447,""B"":4.274660587310791,""C"":5.987194538116455}","{""contradiction"":2.2998087406158447,""neutral"":4.274660587310791,""entailment"":5.987194538116455}","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Peter is brighter than Janet."". Hypothesis: ""Peter and Janet can be compared in terms of how bright they are."". Given the premise provided, is the hypothesis: A. contradiction or B. neutral or C. entailment ?<|end_of_turn|>GPT4 Correct Assistant:","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Peter is brighter than Janet."". Hypothesis: ""Peter and Janet can be compared in terms of how bright they are."". Given the premise provided, is the hypothesis: A. contradiction or B. neutral or C. entailment ?<|end_of_turn|>GPT4 Correct Assistant:

C. entailment",19,"C","comparative-1","2024-05-22T17:51:20.929031Z"
1443,"1","A.","2024-05-22T17:51:22.616629Z",2020,"{'A': 'entailment', 'B': 'neutral', 'C': 'contradiction'}

A.","entailment","{""A"":""entailment"",""B"":""neutral"",""C"":""contradiction""}",1.557,"{""A"":4.508227348327637,""B"":3.1674342155456543,""C"":2.1093568801879883}","{""entailment"":4.508227348327637,""neutral"":3.1674342155456543,""contradiction"":2.1093568801879883}","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Mary is fatter than Ann."". Hypothesis: ""Mary and Ann can be compared in terms of how fat they are."". Given the premise provided, is the hypothesis: A. entailment or B. neutral or C. contradiction ?<|end_of_turn|>GPT4 Correct Assistant:","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Mary is fatter than Ann."". Hypothesis: ""Mary and Ann can be compared in terms of how fat they are."". Given the premise provided, is the hypothesis: A. entailment or B. neutral or C. contradiction ?<|end_of_turn|>GPT4 Correct Assistant:

A.",20,"A","comparative-1","2024-05-22T17:51:22.616663Z"
1444,"1","C. entailment","2024-05-22T17:51:24.546873Z",2021,"{'A': 'contradiction', 'B': 'neutral', 'C': 'entailment'}

C. entailment","entailment","{""A"":""contradiction"",""B"":""neutral"",""C"":""entailment""}",1.794,"{""A"":2.691145896911621,""B"":4.198441982269287,""C"":5.518923759460449}","{""contradiction"":2.691145896911621,""neutral"":4.198441982269287,""entailment"":5.518923759460449}","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Joan is busier than Alfred."". Hypothesis: ""Joan and Alfred can be compared in terms of how busy they are."". Given the premise provided, is the hypothesis: A. contradiction or B. neutral or C. entailment ?<|end_of_turn|>GPT4 Correct Assistant:","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Joan is busier than Alfred."". Hypothesis: ""Joan and Alfred can be compared in terms of how busy they are."". Given the premise provided, is the hypothesis: A. contradiction or B. neutral or C. entailment ?<|end_of_turn|>GPT4 Correct Assistant:

C. entailment",21,"C","comparative-1","2024-05-22T17:51:24.546898Z"
1445,"1","B.","2024-05-22T17:51:26.032273Z",2022,"{'A': 'contradiction', 'B': 'entailment', 'C': 'neutral'}

B.","entailment","{""A"":""contradiction"",""B"":""entailment"",""C"":""neutral""}",1.362,"{""A"":1.3633540868759155,""B"":5.628501892089844,""C"":2.2681310176849365}","{""contradiction"":1.3633540868759155,""entailment"":5.628501892089844,""neutral"":2.2681310176849365}","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Jean is noisier than Jennifer."". Hypothesis: ""Jean and Jennifer can be compared in terms of how noisy they are."". Given the premise provided, is the hypothesis: A. contradiction or B. entailment or C. neutral ?<|end_of_turn|>GPT4 Correct Assistant:","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Jean is noisier than Jennifer."". Hypothesis: ""Jean and Jennifer can be compared in terms of how noisy they are."". Given the premise provided, is the hypothesis: A. contradiction or B. entailment or C. neutral ?<|end_of_turn|>GPT4 Correct Assistant:

B.",22,"B","comparative-1","2024-05-22T17:51:26.032297Z"
1446,"1","A.","2024-05-22T17:51:27.482619Z",2023,"{'A': 'entailment', 'B': 'contradiction', 'C': 'neutral'}

A.","entailment","{""A"":""entailment"",""B"":""contradiction"",""C"":""neutral""}",1.315,"{""A"":4.350002765655518,""B"":1.9113789796829224,""C"":2.146458148956299}","{""entailment"":4.350002765655518,""contradiction"":1.9113789796829224,""neutral"":2.146458148956299}","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Sue is happier than Judy."". Hypothesis: ""Sue and Judy can be compared in terms of how happy they are."". Given the premise provided, is the hypothesis: A. entailment or B. contradiction or C. neutral ?<|end_of_turn|>GPT4 Correct Assistant:","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Sue is happier than Judy."". Hypothesis: ""Sue and Judy can be compared in terms of how happy they are."". Given the premise provided, is the hypothesis: A. entailment or B. contradiction or C. neutral ?<|end_of_turn|>GPT4 Correct Assistant:

A.",23,"A","comparative-1","2024-05-22T17:51:27.482653Z"
1447,"1","B.","2024-05-22T17:51:29.139576Z",2024,"{'A': 'neutral', 'B': 'entailment', 'C': 'contradiction'}

B.","entailment","{""A"":""neutral"",""B"":""entailment"",""C"":""contradiction""}",1.522,"{""A"":2.086857318878174,""B"":6.57548189163208,""C"":2.07226300239563}","{""neutral"":2.086857318878174,""entailment"":6.57548189163208,""contradiction"":2.07226300239563}","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Lucy is more polite than Colin."". Hypothesis: ""Lucy and Colin can be compared in terms of how polite they are."". Given the premise provided, is the hypothesis: A. neutral or B. entailment or C. contradiction ?<|end_of_turn|>GPT4 Correct Assistant:","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Lucy is more polite than Colin."". Hypothesis: ""Lucy and Colin can be compared in terms of how polite they are."". Given the premise provided, is the hypothesis: A. neutral or B. entailment or C. contradiction ?<|end_of_turn|>GPT4 Correct Assistant:

B.",24,"B","comparative-1","2024-05-22T17:51:29.139601Z"
1448,"1","C.","2024-05-22T17:51:30.649297Z",2025,"{'A': 'neutral', 'B': 'contradiction', 'C': 'entailment'}

C.","entailment","{""A"":""neutral"",""B"":""contradiction"",""C"":""entailment""}",1.385,"{""A"":1.461988091468811,""B"":4.135362148284912,""C"":5.794933319091797}","{""neutral"":1.461988091468811,""contradiction"":4.135362148284912,""entailment"":5.794933319091797}","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Tony is skinnier than Sally."". Hypothesis: ""Tony and Sally can be compared in terms of how skinny they are."". Given the premise provided, is the hypothesis: A. neutral or B. contradiction or C. entailment ?<|end_of_turn|>GPT4 Correct Assistant:","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Tony is skinnier than Sally."". Hypothesis: ""Tony and Sally can be compared in terms of how skinny they are."". Given the premise provided, is the hypothesis: A. neutral or B. contradiction or C. entailment ?<|end_of_turn|>GPT4 Correct Assistant:

C.",25,"C","comparative-1","2024-05-22T17:51:30.649322Z"
