"annotation_id","annotator","answer","created_at","id","instruction_and_answer","lead_time","question","question_and_answer","question_number","sentiment","task","updated_at"
11,"1","C.","2024-05-15T10:26:05.746529Z",11,"Given the premise provided, is the hypothesis: A. neutral or B. contradiction or C. entailment ? 
 Answer: 

C.",2.462,"Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Caroline is healthier than Diana."". Hypothesis: ""Caroline and Diana can be compared in terms of how healthy they are."". Given the premise provided, is the hypothesis: A. neutral or B. contradiction or C. entailment ? 
 Answer: ","Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Caroline is healthier than Diana."". Hypothesis: ""Caroline and Diana can be compared in terms of how healthy they are."". Given the premise provided, is the hypothesis: A. neutral or B. contradiction or C. entailment ? 
 Answer: 

C.",10,"C","comparative-1","2024-05-15T10:26:05.746564Z"
12,"1","C.","2024-05-15T10:26:11.511383Z",12,"Given the premise provided, is the hypothesis: A. neutral or B. contradiction or C. entailment ? 
 Answer: 

C.",5.04,"Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Al is more clever than Carol."". Hypothesis: ""Al and Carol can be compared in terms of how clever they are."". Given the premise provided, is the hypothesis: A. neutral or B. contradiction or C. entailment ? 
 Answer: ","Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Al is more clever than Carol."". Hypothesis: ""Al and Carol can be compared in terms of how clever they are."". Given the premise provided, is the hypothesis: A. neutral or B. contradiction or C. entailment ? 
 Answer: 

C.",11,"C","comparative-1","2024-05-15T10:26:11.511413Z"
13,"1","B.","2024-05-15T10:26:15.937891Z",13,"Given the premise provided, is the hypothesis: A. neutral or B. entailment or C. contradiction ? 
 Answer: 

B.",4.017,"Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Jerry is more beautiful than Keith."". Hypothesis: ""Jerry and Keith can be compared in terms of how beautiful they are."". Given the premise provided, is the hypothesis: A. neutral or B. entailment or C. contradiction ? 
 Answer: ","Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Jerry is more beautiful than Keith."". Hypothesis: ""Jerry and Keith can be compared in terms of how beautiful they are."". Given the premise provided, is the hypothesis: A. neutral or B. entailment or C. contradiction ? 
 Answer: 

B.",12,"B","comparative-1","2024-05-15T10:26:15.937949Z"
14,"1","C.","2024-05-15T10:26:18.840408Z",14,"Given the premise provided, is the hypothesis: A. neutral or B. contradiction or C. entailment ? 
 Answer: 

C.",2.34,"Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Nicole is wiser than Robin."". Hypothesis: ""Nicole and Robin can be compared in terms of how wise they are."". Given the premise provided, is the hypothesis: A. neutral or B. contradiction or C. entailment ? 
 Answer: ","Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Nicole is wiser than Robin."". Hypothesis: ""Nicole and Robin can be compared in terms of how wise they are."". Given the premise provided, is the hypothesis: A. neutral or B. contradiction or C. entailment ? 
 Answer: 

C.",13,"C","comparative-1","2024-05-15T10:26:18.840438Z"
15,"1","A.","2024-05-15T10:26:21.538982Z",15,"Given the premise provided, is the hypothesis: A. entailment or B. contradiction or C. neutral ? 
 Answer: 

A.",2.294,"Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Marie is fairer than Anna."". Hypothesis: ""Marie and Anna can be compared in terms of how fair they are."". Given the premise provided, is the hypothesis: A. entailment or B. contradiction or C. neutral ? 
 Answer: ","Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Marie is fairer than Anna."". Hypothesis: ""Marie and Anna can be compared in terms of how fair they are."". Given the premise provided, is the hypothesis: A. entailment or B. contradiction or C. neutral ? 
 Answer: 

A.",14,"A","comparative-1","2024-05-15T10:26:21.539015Z"
16,"1","C.","2024-05-15T10:26:24.270481Z",16,"Given the premise provided, is the hypothesis: A. contradiction or B. neutral or C. entailment ? 
 Answer: 

C.",2.26,"Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Ron is meaner than Patrick."". Hypothesis: ""Ron and Patrick can be compared in terms of how mean they are."". Given the premise provided, is the hypothesis: A. contradiction or B. neutral or C. entailment ? 
 Answer: ","Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Ron is meaner than Patrick."". Hypothesis: ""Ron and Patrick can be compared in terms of how mean they are."". Given the premise provided, is the hypothesis: A. contradiction or B. neutral or C. entailment ? 
 Answer: 

C.",15,"C","comparative-1","2024-05-15T10:26:24.270519Z"
17,"1","C.","2024-05-15T10:26:26.989067Z",17,"Given the premise provided, is the hypothesis: A. contradiction or B. neutral or C. entailment ? 
 Answer: 

C.",2.263,"Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Virginia is more interesting than Dick."". Hypothesis: ""Virginia and Dick can be compared in terms of how interesting they are."". Given the premise provided, is the hypothesis: A. contradiction or B. neutral or C. entailment ? 
 Answer: ","Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Virginia is more interesting than Dick."". Hypothesis: ""Virginia and Dick can be compared in terms of how interesting they are."". Given the premise provided, is the hypothesis: A. contradiction or B. neutral or C. entailment ? 
 Answer: 

C.",16,"C","comparative-1","2024-05-15T10:26:26.989103Z"
18,"1","A.","2024-05-15T10:26:29.543465Z",18,"Given the premise provided, is the hypothesis: A. entailment or B. contradiction or C. neutral ? 
 Answer: 

A.",2.036,"Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Christine is greater than Alexander."". Hypothesis: ""Christine and Alexander can be compared in terms of how great they are."". Given the premise provided, is the hypothesis: A. entailment or B. contradiction or C. neutral ? 
 Answer: ","Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Christine is greater than Alexander."". Hypothesis: ""Christine and Alexander can be compared in terms of how great they are."". Given the premise provided, is the hypothesis: A. entailment or B. contradiction or C. neutral ? 
 Answer: 

A.",17,"A","comparative-1","2024-05-15T10:26:29.543501Z"
19,"1","B.","2024-05-15T10:26:32.328013Z",19,"Given the premise provided, is the hypothesis: A. neutral or B. entailment or C. contradiction ? 
 Answer: 

B.",2.172,"Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Peter is brighter than Janet."". Hypothesis: ""Peter and Janet can be compared in terms of how bright they are."". Given the premise provided, is the hypothesis: A. neutral or B. entailment or C. contradiction ? 
 Answer: ","Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Peter is brighter than Janet."". Hypothesis: ""Peter and Janet can be compared in terms of how bright they are."". Given the premise provided, is the hypothesis: A. neutral or B. entailment or C. contradiction ? 
 Answer: 

B.",18,"B","comparative-1","2024-05-15T10:26:32.328056Z"
20,"1","C.","2024-05-15T10:26:35.238650Z",20,"Given the premise provided, is the hypothesis: A. neutral or B. contradiction or C. entailment ? 
 Answer: 

C.",2.359,"Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Mary is fatter than Ann."". Hypothesis: ""Mary and Ann can be compared in terms of how fat they are."". Given the premise provided, is the hypothesis: A. neutral or B. contradiction or C. entailment ? 
 Answer: ","Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Mary is fatter than Ann."". Hypothesis: ""Mary and Ann can be compared in terms of how fat they are."". Given the premise provided, is the hypothesis: A. neutral or B. contradiction or C. entailment ? 
 Answer: 

C.",19,"C","comparative-1","2024-05-15T10:26:35.238763Z"
21,"1","C.","2024-05-15T10:26:38.306972Z",21,"Given the premise provided, is the hypothesis: A. contradiction or B. neutral or C. entailment ? 
 Answer: 

C.",2.192,"Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Joan is busier than Alfred."". Hypothesis: ""Joan and Alfred can be compared in terms of how busy they are."". Given the premise provided, is the hypothesis: A. contradiction or B. neutral or C. entailment ? 
 Answer: ","Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Joan is busier than Alfred."". Hypothesis: ""Joan and Alfred can be compared in terms of how busy they are."". Given the premise provided, is the hypothesis: A. contradiction or B. neutral or C. entailment ? 
 Answer: 

C.",20,"C","comparative-1","2024-05-15T10:26:38.307007Z"
22,"1","C.","2024-05-15T10:26:41.009384Z",22,"Given the premise provided, is the hypothesis: A. neutral or B. contradiction or C. entailment ? 
 Answer: 

C.",2.233,"Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Jean is noisier than Jennifer."". Hypothesis: ""Jean and Jennifer can be compared in terms of how noisy they are."". Given the premise provided, is the hypothesis: A. neutral or B. contradiction or C. entailment ? 
 Answer: ","Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Jean is noisier than Jennifer."". Hypothesis: ""Jean and Jennifer can be compared in terms of how noisy they are."". Given the premise provided, is the hypothesis: A. neutral or B. contradiction or C. entailment ? 
 Answer: 

C.",21,"C","comparative-1","2024-05-15T10:26:41.009414Z"
23,"1","B.","2024-05-15T10:26:43.559527Z",23,"Given the premise provided, is the hypothesis: A. contradiction or B. entailment or C. neutral ? 
 Answer: 

B.",2.142,"Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Sue is happier than Judy."". Hypothesis: ""Sue and Judy can be compared in terms of how happy they are."". Given the premise provided, is the hypothesis: A. contradiction or B. entailment or C. neutral ? 
 Answer: ","Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Sue is happier than Judy."". Hypothesis: ""Sue and Judy can be compared in terms of how happy they are."". Given the premise provided, is the hypothesis: A. contradiction or B. entailment or C. neutral ? 
 Answer: 

B.",22,"B","comparative-1","2024-05-15T10:26:43.559579Z"
24,"1","A.","2024-05-15T10:26:46.951214Z",24,"Given the premise provided, is the hypothesis: A. entailment or B. neutral or C. contradiction ? 
 Answer: 

A.",2.923,"Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Lucy is more polite than Colin."". Hypothesis: ""Lucy and Colin can be compared in terms of how polite they are."". Given the premise provided, is the hypothesis: A. entailment or B. neutral or C. contradiction ? 
 Answer: ","Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Lucy is more polite than Colin."". Hypothesis: ""Lucy and Colin can be compared in terms of how polite they are."". Given the premise provided, is the hypothesis: A. entailment or B. neutral or C. contradiction ? 
 Answer: 

A.",23,"A","comparative-1","2024-05-15T10:26:46.951257Z"
25,"1","C.","2024-05-15T10:26:49.431705Z",25,"Given the premise provided, is the hypothesis: A. contradiction or B. neutral or C. entailment ? 
 Answer: 

C.",2.011,"Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Tony is skinnier than Sally."". Hypothesis: ""Tony and Sally can be compared in terms of how skinny they are."". Given the premise provided, is the hypothesis: A. contradiction or B. neutral or C. entailment ? 
 Answer: ","Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Tony is skinnier than Sally."". Hypothesis: ""Tony and Sally can be compared in terms of how skinny they are."". Given the premise provided, is the hypothesis: A. contradiction or B. neutral or C. entailment ? 
 Answer: 

C.",24,"C","comparative-1","2024-05-15T10:26:49.431735Z"
26,"1","A.","2024-05-15T10:26:52.397581Z",26,"Given the premise provided, is the hypothesis: A. entailment or B. neutral or C. contradiction ? 
 Answer: 

A.",2.299,"Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Ruth is kinder than Katie."". Hypothesis: ""Ruth and Katie can be compared in terms of how kind they are."". Given the premise provided, is the hypothesis: A. entailment or B. neutral or C. contradiction ? 
 Answer: ","Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Ruth is kinder than Katie."". Hypothesis: ""Ruth and Katie can be compared in terms of how kind they are."". Given the premise provided, is the hypothesis: A. entailment or B. neutral or C. contradiction ? 
 Answer: 

A.",25,"A","comparative-1","2024-05-15T10:26:52.397613Z"
27,"1","A.","2024-05-15T10:26:55.708694Z",27,"Given the premise provided, is the hypothesis: A. entailment or B. neutral or C. contradiction ? 
 Answer: 

A.",2.924,"Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Patricia is firmer than Kathleen."". Hypothesis: ""Patricia and Kathleen can be compared in terms of how firm they are."". Given the premise provided, is the hypothesis: A. entailment or B. neutral or C. contradiction ? 
 Answer: ","Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Patricia is firmer than Kathleen."". Hypothesis: ""Patricia and Kathleen can be compared in terms of how firm they are."". Given the premise provided, is the hypothesis: A. entailment or B. neutral or C. contradiction ? 
 Answer: 

A.",26,"A","comparative-1","2024-05-15T10:26:55.708740Z"
28,"1","B.","2024-05-15T10:27:14.687472Z",28,"Given the premise provided, is the hypothesis: A. contradiction or B. entailment or C. neutral ? 
 Answer: 

B.",18.543,"Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Eleanor is poorer than Ralph."". Hypothesis: ""Eleanor and Ralph can be compared in terms of how poor they are."". Given the premise provided, is the hypothesis: A. contradiction or B. entailment or C. neutral ? 
 Answer: ","Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Eleanor is poorer than Ralph."". Hypothesis: ""Eleanor and Ralph can be compared in terms of how poor they are."". Given the premise provided, is the hypothesis: A. contradiction or B. entailment or C. neutral ? 
 Answer: 

B.",27,"B","comparative-1","2024-05-15T10:27:14.687504Z"
29,"1","A.","2024-05-15T10:27:45.502829Z",29,"Given the premise provided, is the hypothesis: A. entailment or B. contradiction or C. neutral ? 
 Answer: 

A.",30.289,"Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Colin is sweeter than Frank."". Hypothesis: ""Colin and Frank can be compared in terms of how sweet they are."". Given the premise provided, is the hypothesis: A. entailment or B. contradiction or C. neutral ? 
 Answer: ","Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Colin is sweeter than Frank."". Hypothesis: ""Colin and Frank can be compared in terms of how sweet they are."". Given the premise provided, is the hypothesis: A. entailment or B. contradiction or C. neutral ? 
 Answer: 

A.",28,"A","comparative-1","2024-05-15T10:27:45.502862Z"
30,"1","C.","2024-05-15T10:27:48.513307Z",30,"Given the premise provided, is the hypothesis: A. neutral or B. contradiction or C. entailment ? 
 Answer: 

C.",2.475,"Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Helen is more important than Patrick."". Hypothesis: ""Helen and Patrick can be compared in terms of how important they are."". Given the premise provided, is the hypothesis: A. neutral or B. contradiction or C. entailment ? 
 Answer: ","Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Helen is more important than Patrick."". Hypothesis: ""Helen and Patrick can be compared in terms of how important they are."". Given the premise provided, is the hypothesis: A. neutral or B. contradiction or C. entailment ? 
 Answer: 

C.",29,"C","comparative-1","2024-05-15T10:27:48.513340Z"
31,"1","B.","2024-05-15T10:27:57.065438Z",31,"Given the premise provided, is the hypothesis: A. neutral or B. entailment or C. contradiction ? 
 Answer: 

B.",8.234,"Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Alison is scarier than Evelyn."". Hypothesis: ""Alison and Evelyn can be compared in terms of how scary they are."". Given the premise provided, is the hypothesis: A. neutral or B. entailment or C. contradiction ? 
 Answer: ","Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Alison is scarier than Evelyn."". Hypothesis: ""Alison and Evelyn can be compared in terms of how scary they are."". Given the premise provided, is the hypothesis: A. neutral or B. entailment or C. contradiction ? 
 Answer: 

B.",30,"B","comparative-1","2024-05-15T10:27:57.065468Z"
32,"1","A.","2024-05-15T10:28:02.453953Z",32,"Given the premise provided, is the hypothesis: A. entailment or B. neutral or C. contradiction ? 
 Answer: 

A.",4.984,"Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Steven is sharper than Matt."". Hypothesis: ""Steven and Matt can be compared in terms of how sharp they are."". Given the premise provided, is the hypothesis: A. entailment or B. neutral or C. contradiction ? 
 Answer: ","Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Steven is sharper than Matt."". Hypothesis: ""Steven and Matt can be compared in terms of how sharp they are."". Given the premise provided, is the hypothesis: A. entailment or B. neutral or C. contradiction ? 
 Answer: 

A.",31,"A","comparative-1","2024-05-15T10:28:02.453982Z"
33,"1","B.","2024-05-15T10:28:05.704334Z",33,"Given the premise provided, is the hypothesis: A. neutral or B. entailment or C. contradiction ? 
 Answer: 

B.",2.827,"Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Judith is curvier than Marie."". Hypothesis: ""Judith and Marie can be compared in terms of how curvy they are."". Given the premise provided, is the hypothesis: A. neutral or B. entailment or C. contradiction ? 
 Answer: ","Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Judith is curvier than Marie."". Hypothesis: ""Judith and Marie can be compared in terms of how curvy they are."". Given the premise provided, is the hypothesis: A. neutral or B. entailment or C. contradiction ? 
 Answer: 

B.",32,"B","comparative-1","2024-05-15T10:28:05.704368Z"
34,"1","A.","2024-05-15T10:28:09.122834Z",34,"Given the premise provided, is the hypothesis: A. entailment or B. neutral or C. contradiction ? 
 Answer: 

A.",2.857,"Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Angela is nicer than Jim."". Hypothesis: ""Angela and Jim can be compared in terms of how nice they are."". Given the premise provided, is the hypothesis: A. entailment or B. neutral or C. contradiction ? 
 Answer: ","Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Angela is nicer than Jim."". Hypothesis: ""Angela and Jim can be compared in terms of how nice they are."". Given the premise provided, is the hypothesis: A. entailment or B. neutral or C. contradiction ? 
 Answer: 

A.",33,"A","comparative-1","2024-05-15T10:28:09.122886Z"
35,"1","B.","2024-05-15T10:28:11.985690Z",35,"Given the premise provided, is the hypothesis: A. neutral or B. entailment or C. contradiction ? 
 Answer: 

B.",2.523,"Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Peter is humbler than James."". Hypothesis: ""Peter and James can be compared in terms of how humble they are."". Given the premise provided, is the hypothesis: A. neutral or B. entailment or C. contradiction ? 
 Answer: ","Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Peter is humbler than James."". Hypothesis: ""Peter and James can be compared in terms of how humble they are."". Given the premise provided, is the hypothesis: A. neutral or B. entailment or C. contradiction ? 
 Answer: 

B.",34,"B","comparative-1","2024-05-15T10:28:11.985738Z"
36,"1","B.","2024-05-15T10:28:15.632606Z",36,"Given the premise provided, is the hypothesis: A. contradiction or B. entailment or C. neutral ? 
 Answer: 

B.",3.216,"Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Jean is bitterer than Scott."". Hypothesis: ""Jean and Scott can be compared in terms of how bitter they are."". Given the premise provided, is the hypothesis: A. contradiction or B. entailment or C. neutral ? 
 Answer: ","Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Jean is bitterer than Scott."". Hypothesis: ""Jean and Scott can be compared in terms of how bitter they are."". Given the premise provided, is the hypothesis: A. contradiction or B. entailment or C. neutral ? 
 Answer: 

B.",35,"B","comparative-1","2024-05-15T10:28:15.632648Z"
